session,turn,stage,end_after_commit_ms,elapsed_ms,slot_wait_ms,scheduler_wait_ms,preprocessing_ms,audio_encoder_ms,image_encoder_ms,prefix_prefill_ms,suffix_ms,suffix_queue_ms,tokens,cached_tokens,computed_tokens,cache_ratio,candidates,batches
sess_dee23864,turn_de9f3474_1,category,469.437,468.577,0.012,6.618980783969164,34.524,0.0,0.0,373.0783180799335,48.0041338596493,4.143775906413794,6767,0,6767,0.0,5,1
sess_dee23864,turn_de9f3474_1,performance,529.464,528.349,0.008,7.6674348674714565,5.162,0.0,0.0,44.48414104990661,50.180841935798526,5.853550974279642,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_de9f3474_1,child,666.463,196.599,0.009,1.8774501513689756,13.684,0.0,0.0,89.56435392610729,44.19187502935529,0.9483601897954941,1461,0,1461,0.0,4,1
sess_dee23864,turn_409a340c_3,reply-history-route,201.281,200.694,0.018,13.212773948907852,6.701,0.0,0.0,85.4370929300785,99.46681605651975,11.67030492797494,1308,1290,18,0.9862385321100917,4,1
sess_dee23864,turn_409a340c_3,category,569.093,567.604,0.012,17.58236507885158,80.054,0.0,0.0,88.36530102416873,312.37509613856673,16.047188080847263,9521,8978,543,0.9429681756118055,51,1
sess_dee23864,turn_409a340c_3,performance,651.718,649.901,199.102,12.511751847341657,6.51,0.0,0.0,297.5651400629431,71.8135698698461,6.283988943323493,1033,1014,19,0.9816069699903195,48,1
sess_dee23864,turn_409a340c_3,child,1047.707,478.029,0.009,10.714092990383506,51.113,0.0,0.0,304.55679213628173,55.5987770203501,7.575374096632004,5816,0,5816,0.0,49,1
sess_dee23864,turn_409a340c_3,pure-action-reply-validation,1158.271,94.195,0.008,1.8721031956374645,3.175,0.0,0.0,41.17714404128492,45.31011404469609,0.8927551098167896,443,410,33,0.9255079006772009,5,1
sess_dee23864,turn_3fc2ea17_5,reply-history-route,204.078,203.49,0.02,8.60809232108295,6.47,0.0,0.0,84.25670792348683,104.69257598742843,7.117713103070855,1308,1290,18,0.9862385321100917,4,1
sess_dee23864,turn_3fc2ea17_5,category,330.643,329.172,0.011,16.26707403920591,79.195,0.0,0.0,98.21278904564679,70.60157810337842,14.75552306510508,9651,8978,673,0.9302662936483266,51,1
sess_dee23864,turn_3fc2ea17_5,performance,410.512,408.741,201.982,11.484840884804726,5.505,0.0,0.0,56.95837619714439,71.33217505179346,6.097863893955946,1033,1014,19,0.9816069699903195,48,1
sess_dee23864,turn_3fc2ea17_5,child,581.673,250.472,0.008,9.531856048852205,49.121,0.0,0.0,78.94829101860523,57.69916903227568,8.477794006466866,5946,5347,599,0.8992600067272116,49,1
sess_dee23864,turn_3fc2ea17_5,pure-action-reply-validation,693.181,94.809,0.008,1.7836480401456356,3.148,0.0,0.0,41.03542794473469,46.50434013456106,0.8896910585463047,443,410,33,0.9255079006772009,5,1
sess_dee23864,turn_e4230dfe_7,reply-history-route,206.911,206.399,0.016,11.304797139018774,6.509,0.0,0.0,84.87373078241944,105.86877493187785,9.165084920823574,1308,1290,18,0.9862385321100917,4,1
sess_dee23864,turn_e4230dfe_7,category,333.238,331.727,0.01,18.440987914800644,77.273,0.0,0.0,97.27103798650205,72.02700688503683,16.317650908604264,9651,8978,673,0.9302662936483266,51,1
sess_dee23864,turn_e4230dfe_7,performance,413.982,412.404,205.033,12.482867110520601,6.401,0.0,0.0,56.82925810106099,71.1442471947521,6.188182160258293,1033,1014,19,0.9816069699903195,48,1
sess_dee23864,turn_e4230dfe_7,child,583.603,249.797,0.009,9.13035194389522,46.808,0.0,0.0,78.63171701319516,56.136047933250666,8.10182886198163,5946,5347,599,0.8992600067272116,49,1
sess_dee23864,turn_e4230dfe_7,pure-action-reply-validation,695.091,94.827,0.008,1.7588299233466387,3.134,0.0,0.0,41.31806013174355,46.27091297879815,0.8253119885921478,443,410,33,0.9255079006772009,5,1
